Epoch 126 | Train Loss: 0.0309 | Val Loss: 0.3748
Epoch 127 | Train Loss: 0.0231 | Val Loss: 0.3860
Epoch 128 | Train Loss: 0.0361 | Val Loss: 0.3312
Epoch 129 | Train Loss: 0.0256 | Val Loss: 0.3470
Epoch 130 | Train Loss: 0.0234 | Val Loss: 0.3657
💾 Checkpoint saved: Checkpoints/fragrant-sweep-1_epoch130.pt
Epoch 131 | Train Loss: 0.0156 | Val Loss: 0.3621
Epoch 132 | Train Loss: 0.0278 | Val Loss: 0.3926
Epoch 133 | Train Loss: 0.0241 | Val Loss: 0.4549
Epoch 134 | Train Loss: 0.0220 | Val Loss: 0.3454
Epoch 135 | Train Loss: 0.0222 | Val Loss: 0.3483
Epoch 136 | Train Loss: 0.0188 | Val Loss: 0.4019
Epoch 137 | Train Loss: 0.0225 | Val Loss: 0.3960
Epoch 138 | Train Loss: 0.0209 | Val Loss: 0.3614
Epoch 139 | Train Loss: 0.0170 | Val Loss: 0.3747
Epoch 140 | Train Loss: 0.0274 | Val Loss: 0.3688
💾 Checkpoint saved: Checkpoints/fragrant-sweep-1_epoch140.pt
Epoch 141 | Train Loss: 0.0347 | Val Loss: 0.3644
Epoch 142 | Train Loss: 0.0258 | Val Loss: 0.3489
Epoch 143 | Train Loss: 0.0207 | Val Loss: 0.3824
Epoch 144 | Train Loss: 0.0148 | Val Loss: 0.3872
Epoch 145 | Train Loss: 0.0210 | Val Loss: 0.3404
Epoch 146 | Train Loss: 0.0168 | Val Loss: 0.3779
Epoch 147 | Train Loss: 0.0165 | Val Loss: 0.3712
Epoch 148 | Train Loss: 0.0208 | Val Loss: 0.3867
Epoch 149 | Train Loss: 0.0111 | Val Loss: 0.3957
Epoch 150 | Train Loss: 0.0145 | Val Loss: 0.4176
💾 Checkpoint saved: Checkpoints/fragrant-sweep-1_epoch150.pt
Epoch 151 | Train Loss: 0.0133 | Val Loss: 0.4073
Epoch 152 | Train Loss: 0.0127 | Val Loss: 0.3837
Epoch 153 | Train Loss: 0.0184 | Val Loss: 0.4043
Epoch 154 | Train Loss: 0.0212 | Val Loss: 0.4214
Epoch 155 | Train Loss: 0.0175 | Val Loss: 0.4577
Epoch 156 | Train Loss: 0.0124 | Val Loss: 0.4004
Epoch 157 | Train Loss: 0.0141 | Val Loss: 0.3715
Epoch 158 | Train Loss: 0.0076 | Val Loss: 0.4444
Epoch 159 | Train Loss: 0.0126 | Val Loss: 0.3870
Epoch 160 | Train Loss: 0.0197 | Val Loss: 0.4213
💾 Checkpoint saved: Checkpoints/fragrant-sweep-1_epoch160.pt
Epoch 161 | Train Loss: 0.0175 | Val Loss: 0.4341
Epoch 162 | Train Loss: 0.0156 | Val Loss: 0.4228
Epoch 163 | Train Loss: 0.0222 | Val Loss: 0.3928
Epoch 164 | Train Loss: 0.0139 | Val Loss: 0.4459
Epoch 165 | Train Loss: 0.0132 | Val Loss: 0.4095
Epoch 166 | Train Loss: 0.0160 | Val Loss: 0.4249
Epoch 167 | Train Loss: 0.0119 | Val Loss: 0.3994
Epoch 168 | Train Loss: 0.0156 | Val Loss: 0.3927
