run_id,name,test_accuracy,test_sensitivity,test_specificity,val_accuracy,tumor_samples,batch_size,learning_rate,epochs
ujbs6plq,trainpercent_1_run_1,97.82393669634024,0.9653465346375356,0.9975308641729004,97.76733254994124,2128,128,0.005,1000
qvcx61vu,trainpercent_0.9_run_1,97.52720079129574,0.9587458745716378,0.9999999999753086,98.2373678025852,1915,128,0.005,1000
50zbmn2o,trainpercent_0.8_run_1,59.940652818991104,0.9999999999834984,0.0,37.485311398354874,1702,128,0.005,1000
4r889leh,trainpercent_0.7_run_1,96.0435212660732,0.9405940593904192,0.990123456765676,98.1198589894242,1489,128,0.005,1000
91zyekgz,trainpercent_0.6_run_1,97.3293768545994,0.9587458745716378,0.9950617283704924,98.58989424206815,1276,128,0.005,1000
rch0e01y,trainpercent_0.5_run_1,93.96636993076162,0.927392739258624,0.9580246913343696,97.53231492361928,1064,128,0.005,1000
lfv22siy,trainpercent_0.4_run_1,91.79030662710188,0.884488448830289,0.9679012345440025,97.06227967097531,851,128,0.005,1000
zj06fjgt,trainpercent_0.3_run_1,91.59248269040556,0.8927392739126611,0.9506172839271452,96.94477085781432,638,128,0.005,1000
8gmvi4uu,trainpercent_0.2_run_1,86.94362017804154,0.912541254110354,0.8049382715850633,96.00470035252644,425,128,0.005,1000
3marcrl8,trainpercent_0.1_run_1,85.06429277942631,0.8778877887643913,0.8098765431898796,95.29964747356053,212,128,0.005,1000
emuvgpfi,trainpercent_1_run_2,96.6369930761622,0.9521452145057402,0.9876543209632678,97.53231492361928,2128,128,0.005,1000
9dob1fmp,trainpercent_0.9_run_2,97.42828882294758,0.9653465346375356,0.9876543209632678,98.58989424206815,1915,128,0.005,1000
2b769vjn,trainpercent_0.8_run_2,96.7359050445104,0.9504950494892658,0.992592592568084,98.1198589894242,1702,128,0.005,1000
0d113j11,trainpercent_0.7_run_2,95.25222551928783,0.9339933993245216,0.9802469135560432,97.76733254994124,1489,128,0.005,1000
vepxmgna,trainpercent_0.6_run_2,95.45004945598416,0.9405940593904192,0.9753086419512268,97.64982373678026,1276,128,0.005,1000
m72liqyn,trainpercent_0.5_run_2,95.84569732937686,0.955445544538689,0.962962962939186,97.64982373678026,1064,128,0.005,1000
ofmqz8aj,trainpercent_0.4_run_2,59.940652818991104,0.9999999999834984,0.0,62.51468860164512,851,128,0.005,1000
86nabzc5,trainpercent_0.3_run_2,91.3946587537092,0.8828382838138146,0.960493827136778,97.06227967097531,638,128,0.005,1000
qak9me9y,trainpercent_0.2_run_2,88.82294757665677,0.8646864686325959,0.9234567901006554,95.76968272620446,425,128,0.005,1000
xjzfu5ra,trainpercent_0.1_run_2,81.00890207715133,0.8861386138467634,0.6962962962791038,95.53466509988247,212,128,0.005,1000
ms8102hw,trainpercent_1_run_3,98.3184965380811,0.9768976897528564,0.992592592568084,98.47238542890716,2128,128,0.005,1000
yjhkaw56,trainpercent_0.9_run_3,96.6369930761622,0.943894389423368,0.9999999999753086,97.76733254994124,1915,128,0.005,1000
2bsbyprk,trainpercent_0.8_run_3,97.42828882294758,0.9587458745716378,0.9975308641729004,98.35487661574618,1702,128,0.005,1000
o5pt1w1p,trainpercent_0.7_run_3,97.72502472799208,0.9653465346375356,0.9950617283704924,97.53231492361928,1489,128,0.005,1000
