run_id,name,test_accuracy,test_sensitivity,test_specificity,val_accuracy,glioma_samples,batch_size,learning_rate,epochs
6fbem214,trainpercent_0.4_run_2,83.16831683168317,83.33333333061002,82.99999999723333,86.25235404896422,422,16,0.0005,1000
8imwk709,trainpercent_0.3_run_2,88.61386138613861,93.79084967013756,83.33333333055555,87.00564971751412,317,16,0.0005,1000
ompwpdum,trainpercent_0.2_run_2,84.32343234323433,89.86928104281473,78.66666666404444,84.55743879472693,211,16,0.0005,1000
cinygx3f,trainpercent_0.1_run_2,78.87788778877888,78.43137254645649,79.33333333068889,79.84934086629002,105,16,0.0005,1000
n4q7rrkj,trainpercent_1_run_3,92.40924092409242,92.81045751330684,91.99999999693333,91.90207156308853,1057,16,0.0005,1000
nsvq60oa,trainpercent_0.9_run_3,92.40924092409242,95.09803921257848,89.66666666367777,93.03201506591336,951,16,0.0005,1000
36l6xv8w,trainpercent_0.8_run_3,87.7887788778878,87.90849672915331,87.66666666374444,91.90207156308853,845,16,0.0005,1000
m9v3noba,trainpercent_0.7_run_3,89.60396039603961,91.17647058525566,87.99999999706667,91.1487758945386,739,16,0.0005,1000
35a000po,trainpercent_0.6_run_3,85.64356435643565,86.60130718671238,84.66666666384445,90.20715630885122,634,16,0.0005,1000
g7bnygmg,trainpercent_0.5_run_3,85.47854785478548,89.5424836572045,81.33333333062221,89.26553672316385,528,16,0.0005,1000
38rh58gv,trainpercent_0.4_run_3,84.65346534653466,87.25490195793284,81.99999999726666,87.75894538606404,422,16,0.0005,1000
pch7azok,trainpercent_0.3_run_3,88.44884488448845,86.60130718671238,90.33333333032222,87.38229755178908,317,16,0.0005,1000
z6r4fxh1,trainpercent_0.2_run_3,84.98349834983499,84.31372548744072,85.66666666381111,85.12241054613936,211,16,0.0005,1000
5mv2g1du,trainpercent_0.1_run_3,78.54785478547855,76.79738561840531,80.33333333065555,78.15442561205273,105,16,0.0005,1000
a2b7qr71,trainpercent_1_run_4,93.23432343234325,94.1176470557478,92.33333333025556,93.78531073446328,1057,16,0.0005,1000
