run_id,name,test_accuracy,test_sensitivity,test_specificity,val_accuracy,train_samples,batch_size,learning_rate,epochs
9pw3oa81,trainpercent_0.1_run_6,85.36102868447082,86.30363036161215,83.95061728187775,9283.19623971798,340,128,0.005,1000
lxo4id6f,trainpercent_1_run_7,98.0217606330366,97.02970296869587,99.50617283704925,9764.982373678027,3404,128,0.005,1000
j4ni8ml1,trainpercent_0.9_run_7,94.46092977250248,92.90429042750984,96.79012345440024,9588.719153936547,3063,128,0.005,1000
x62gjcyu,trainpercent_0.8_run_7,94.26310583580614,91.58415841433029,98.27160493584516,9612.220916568742,2723,128,0.005,1000
xi3dil7k,trainpercent_0.7_run_7,95.94460929772502,95.5445544538689,96.54320987415944,9588.719153936547,2382,128,0.005,1000
dk76f736,trainpercent_0.6_run_7,96.53808110781404,96.03960395881124,97.28395061488187,9670.975323149236,2042,128,0.005,1000
o10n4sgl,trainpercent_0.5_run_7,92.97725024727993,89.76897689620843,97.77777777536352,9506.462984723856,1702,128,0.005,1000
i6s97p2e,trainpercent_0.4_run_7,92.58160237388724,90.92409240774052,95.06172839271451,9506.462984723856,1361,128,0.005,1000
vyx3klft,trainpercent_0.3_run_7,89.7131552917903,89.2739273912661,90.37037036813899,9388.954171562867,1021,128,0.005,1000
d2rha60v,trainpercent_0.2_run_7,88.92185954500495,85.64356435502238,93.82716049151044,9494.712103407755,680,128,0.005,1000
cbj10ivt,trainpercent_0.1_run_7,86.44906033630069,85.64356435502238,87.65432098549002,9177.43830787309,340,128,0.005,1000
94fpd9hv,trainpercent_1_run_8,94.65875370919882,93.06930692915728,97.03703703464106,9659.224441833137,3404,128,0.005,1000
6ay8lm60,trainpercent_0.9_run_8,97.03264094955487,96.03960395881124,98.51851851608596,9647.473560517039,3063,128,0.005,1000
22r2cu3d,trainpercent_0.8_run_8,96.14243323442136,94.88448844727914,98.02469135560432,9659.224441833137,2723,128,0.005,1000
02sdnxa0,trainpercent_0.7_run_8,95.15331355093969,95.04950494892658,95.30864197295534,9518.213866039952,2382,128,0.005,1000
m2sy8m1q,trainpercent_0.6_run_8,95.84569732937686,94.7194719456317,97.53086419512267,9764.982373678027,2042,128,0.005,1000
1d6rdmlf,trainpercent_0.5_run_8,93.3728981206726,91.2541254110354,96.54320987415944,9612.220916568742,1702,128,0.005,1000
hsyopf2f,trainpercent_0.4_run_8,92.08704253214638,89.60396039456099,95.80246913343696,9482.961222091655,1361,128,0.005,1000
s1zr4j6y,trainpercent_0.3_run_8,89.7131552917903,88.77887788632378,91.11111110886144,9482.961222091655,1021,128,0.005,1000
f6jnq05z,trainpercent_0.2_run_8,87.73491592482691,87.2937293714968,88.39506172621246,9365.45240893067,680,128,0.005,1000
heqerygc,trainpercent_0.1_run_8,85.26211671612265,85.97359735831726,84.19753086211857,9259.69447708578,340,128,0.005,1000
jabt30eq,trainpercent_1_run_9,96.53808110781404,95.04950494892658,98.76543209632678,9670.975323149236,3404,128,0.005,1000
uyrg9xey,trainpercent_0.9_run_9,97.03264094955487,96.03960395881124,98.51851851608596,9541.715628672153,3063,128,0.005,1000
eso2ocaf,trainpercent_0.8_run_9,93.57072205736894,91.58415841433029,96.54320987415944,9659.224441833137,2723,128,0.005,1000
9puhq9kc,trainpercent_0.7_run_9,94.26310583580614,93.39933993245216,95.55555555319616,9553.466509988248,2382,128,0.005,1000
s6ujtpq6,trainpercent_0.6_run_9,92.97725024727993,90.09900989950333,97.28395061488187,9647.473560517039,2042,128,0.005,1000
4mv1slm4,trainpercent_0.5_run_9,91.79030662710188,88.4488448830289,96.79012345440024,9447.708578143362,1702,128,0.005,1000
tpu908ym,trainpercent_0.4_run_9,90.00989119683481,87.2937293714968,94.07407407175126,9506.462984723856,1361,128,0.005,1000
u319bzo4,trainpercent_0.3_run_9,90.20771513353117,89.60396039456099,91.11111110886144,9259.69447708578,1021,128,0.005,1000
7n300wmj,trainpercent_0.2_run_9,88.82294757665677,86.96369636820191,91.60493826934308,9318.448883666277,680,128,0.005,1000
zgb4w184,trainpercent_0.1_run_9,85.95450049455984,86.96369636820191,84.44444444235938,9271.44535840188,340,128,0.005,1000
eysf2zj8,trainpercent_1_run_10,96.43916913946587,94.05940593904192,99.99999999753086,9706.227967097531,3404,128,0.005,1000
18f9l76q,trainpercent_0.9_run_10,95.351137487636,94.55445544398424,96.54320987415944,9635.72267920094,3063,128,0.005,1000
vnguabxg,trainpercent_0.8_run_10,95.0544015825915,92.73927392586239,98.51851851608596,9565.217391304348,2723,128,0.005,1000
pww36w1o,trainpercent_0.7_run_10,92.87833827893176,90.09900989950333,97.03703703464106,9623.971797884842,2382,128,0.005,1000
ix6slf3z,trainpercent_0.6_run_10,94.85657764589516,92.57425742421496,98.27160493584516,9682.726204465336,2042,128,0.005,1000
ybmullk4,trainpercent_0.5_run_10,92.87833827893176,90.26402640115077,96.79012345440024,9506.462984723856,1702,128,0.005,1000
wc5hqbl8,trainpercent_0.4_run_10,90.90009891196836,89.60396039456099,92.83950617054715,9553.466509988248,1361,128,0.005,1000
z55nntmb,trainpercent_0.3_run_10,89.31750741839762,88.11881187973401,91.11111110886144,9377.203290246769,1021,128,0.005,1000
ormc3arj,trainpercent_0.2_run_10,88.32838773491592,85.64356435502238,92.34567901006554,9294.947121034076,680,128,0.005,1000
vr8bi8j1,trainpercent_0.1_run_10,84.96538081107813,86.4686468632596,82.71604938067367,9200.940070505289,340,128,0.005,1000
