Epoch 39 | Train Loss: 0.3286 | Val Loss: 0.3372 | Val Acc: 87.59% | Sens: 0.92 | Spec: 0.83 | AUC: 0.94 | ✅ Correct: 466 | ❌ Incorrect: 66 | 📦 Total: 532
Epoch 40 | Train Loss: 0.3201 | Val Loss: 0.3270 | Val Acc: 88.53% | Sens: 0.93 | Spec: 0.84 | AUC: 0.95 | ✅ Correct: 471 | ❌ Incorrect: 61 | 📦 Total: 532
💾 Checkpoint saved: Checkpoints/Hyperparametersuch-Gli-Men/apricot-sweep-83/checkpoint_epoch_040.pt
Epoch 41 | Train Loss: 0.3238 | Val Loss: 0.3342 | Val Acc: 86.09% | Sens: 0.82 | Spec: 0.90 | AUC: 0.94 | ✅ Correct: 458 | ❌ Incorrect: 74 | 📦 Total: 532
Epoch 42 | Train Loss: 0.3218 | Val Loss: 0.3808 | Val Acc: 82.14% | Sens: 0.69 | Spec: 0.95 | AUC: 0.95 | ✅ Correct: 437 | ❌ Incorrect: 95 | 📦 Total: 532
Epoch 43 | Train Loss: 0.3579 | Val Loss: 0.3394 | Val Acc: 87.41% | Sens: 0.91 | Spec: 0.84 | AUC: 0.94 | ✅ Correct: 465 | ❌ Incorrect: 67 | 📦 Total: 532
Epoch 44 | Train Loss: 0.3231 | Val Loss: 0.4003 | Val Acc: 82.33% | Sens: 0.69 | Spec: 0.96 | AUC: 0.94 | ✅ Correct: 438 | ❌ Incorrect: 94 | 📦 Total: 532
Epoch 45 | Train Loss: 0.3418 | Val Loss: 0.3546 | Val Acc: 85.15% | Sens: 0.76 | Spec: 0.94 | AUC: 0.95 | ✅ Correct: 453 | ❌ Incorrect: 79 | 📦 Total: 532
Epoch 46 | Train Loss: 0.3467 | Val Loss: 0.3449 | Val Acc: 85.15% | Sens: 0.77 | Spec: 0.93 | AUC: 0.95 | ✅ Correct: 453 | ❌ Incorrect: 79 | 📦 Total: 532
Epoch 47 | Train Loss: 0.3050 | Val Loss: 0.3927 | Val Acc: 82.52% | Sens: 0.69 | Spec: 0.96 | AUC: 0.94 | ✅ Correct: 439 | ❌ Incorrect: 93 | 📦 Total: 532
Epoch 48 | Train Loss: 0.3407 | Val Loss: 0.3148 | Val Acc: 88.72% | Sens: 0.85 | Spec: 0.93 | AUC: 0.95 | ✅ Correct: 472 | ❌ Incorrect: 60 | 📦 Total: 532
Epoch 49 | Train Loss: 0.3302 | Val Loss: 0.3049 | Val Acc: 89.85% | Sens: 0.89 | Spec: 0.91 | AUC: 0.95 | ✅ Correct: 478 | ❌ Incorrect: 54 | 📦 Total: 532
Epoch 50 | Train Loss: 0.3165 | Val Loss: 0.3077 | Val Acc: 89.29% | Sens: 0.92 | Spec: 0.86 | AUC: 0.95 | ✅ Correct: 475 | ❌ Incorrect: 57 | 📦 Total: 532
💾 Checkpoint saved: Checkpoints/Hyperparametersuch-Gli-Men/apricot-sweep-83/checkpoint_epoch_050.pt
Epoch 51 | Train Loss: 0.3074 | Val Loss: 0.3330 | Val Acc: 87.78% | Sens: 0.96 | Spec: 0.80 | AUC: 0.95 | ✅ Correct: 467 | ❌ Incorrect: 65 | 📦 Total: 532
Epoch 52 | Train Loss: 0.3038 | Val Loss: 0.2926 | Val Acc: 90.41% | Sens: 0.92 | Spec: 0.89 | AUC: 0.96 | ✅ Correct: 481 | ❌ Incorrect: 51 | 📦 Total: 532
Epoch 53 | Train Loss: 0.2895 | Val Loss: 0.2848 | Val Acc: 88.91% | Sens: 0.91 | Spec: 0.87 | AUC: 0.96 | ✅ Correct: 473 | ❌ Incorrect: 59 | 📦 Total: 532
Epoch 54 | Train Loss: 0.2966 | Val Loss: 0.2970 | Val Acc: 88.35% | Sens: 0.84 | Spec: 0.93 | AUC: 0.96 | ✅ Correct: 470 | ❌ Incorrect: 62 | 📦 Total: 532
Epoch 55 | Train Loss: 0.2882 | Val Loss: 0.2821 | Val Acc: 90.23% | Sens: 0.93 | Spec: 0.87 | AUC: 0.96 | ✅ Correct: 480 | ❌ Incorrect: 52 | 📦 Total: 532
Epoch 56 | Train Loss: 0.3218 | Val Loss: 0.2926 | Val Acc: 88.91% | Sens: 0.87 | Spec: 0.91 | AUC: 0.95 | ✅ Correct: 473 | ❌ Incorrect: 59 | 📦 Total: 532
Epoch 57 | Train Loss: 0.3068 | Val Loss: 0.3530 | Val Acc: 86.84% | Sens: 0.97 | Spec: 0.77 | AUC: 0.96 | ✅ Correct: 462 | ❌ Incorrect: 70 | 📦 Total: 532
Epoch 58 | Train Loss: 0.3221 | Val Loss: 0.2962 | Val Acc: 87.59% | Sens: 0.84 | Spec: 0.92 | AUC: 0.96 | ✅ Correct: 466 | ❌ Incorrect: 66 | 📦 Total: 532
Epoch 59 | Train Loss: 0.3211 | Val Loss: 0.3035 | Val Acc: 88.53% | Sens: 0.82 | Spec: 0.95 | AUC: 0.96 | ✅ Correct: 471 | ❌ Incorrect: 61 | 📦 Total: 532
Epoch 60 | Train Loss: 0.3067 | Val Loss: 0.2858 | Val Acc: 89.85% | Sens: 0.88 | Spec: 0.92 | AUC: 0.96 | ✅ Correct: 478 | ❌ Incorrect: 54 | 📦 Total: 532
💾 Checkpoint saved: Checkpoints/Hyperparametersuch-Gli-Men/apricot-sweep-83/checkpoint_epoch_060.pt
Epoch 61 | Train Loss: 0.2732 | Val Loss: 0.2801 | Val Acc: 89.29% | Sens: 0.92 | Spec: 0.87 | AUC: 0.96 | ✅ Correct: 475 | ❌ Incorrect: 57 | 📦 Total: 532
Epoch 62 | Train Loss: 0.2860 | Val Loss: 0.2606 | Val Acc: 91.17% | Sens: 0.94 | Spec: 0.89 | AUC: 0.96 | ✅ Correct: 485 | ❌ Incorrect: 47 | 📦 Total: 532
Epoch 63 | Train Loss: 0.2891 | Val Loss: 0.3162 | Val Acc: 88.91% | Sens: 0.97 | Spec: 0.82 | AUC: 0.96 | ✅ Correct: 473 | ❌ Incorrect: 59 | 📦 Total: 532
Epoch 64 | Train Loss: 0.3014 | Val Loss: 0.3159 | Val Acc: 87.59% | Sens: 0.92 | Spec: 0.84 | AUC: 0.95 | ✅ Correct: 466 | ❌ Incorrect: 66 | 📦 Total: 532
Epoch 65 | Train Loss: 0.3144 | Val Loss: 0.2708 | Val Acc: 88.72% | Sens: 0.87 | Spec: 0.90 | AUC: 0.96 | ✅ Correct: 472 | ❌ Incorrect: 60 | 📦 Total: 532
Epoch 66 | Train Loss: 0.2807 | Val Loss: 0.2990 | Val Acc: 88.35% | Sens: 0.83 | Spec: 0.93 | AUC: 0.96 | ✅ Correct: 470 | ❌ Incorrect: 62 | 📦 Total: 532
Epoch 67 | Train Loss: 0.2712 | Val Loss: 0.2636 | Val Acc: 90.23% | Sens: 0.95 | Spec: 0.86 | AUC: 0.96 | ✅ Correct: 480 | ❌ Incorrect: 52 | 📦 Total: 532
Epoch 68 | Train Loss: 0.2752 | Val Loss: 0.2543 | Val Acc: 91.54% | Sens: 0.92 | Spec: 0.91 | AUC: 0.97 | ✅ Correct: 487 | ❌ Incorrect: 45 | 📦 Total: 532
Epoch 69 | Train Loss: 0.2750 | Val Loss: 0.2923 | Val Acc: 87.41% | Sens: 0.81 | Spec: 0.94 | AUC: 0.96 | ✅ Correct: 465 | ❌ Incorrect: 67 | 📦 Total: 532
Epoch 70 | Train Loss: 0.2715 | Val Loss: 0.2508 | Val Acc: 90.79% | Sens: 0.93 | Spec: 0.88 | AUC: 0.96 | ✅ Correct: 483 | ❌ Incorrect: 49 | 📦 Total: 532
💾 Checkpoint saved: Checkpoints/Hyperparametersuch-Gli-Men/apricot-sweep-83/checkpoint_epoch_070.pt
Epoch 71 | Train Loss: 0.2897 | Val Loss: 0.2680 | Val Acc: 90.04% | Sens: 0.95 | Spec: 0.86 | AUC: 0.97 | ✅ Correct: 479 | ❌ Incorrect: 53 | 📦 Total: 532
Epoch 72 | Train Loss: 0.2705 | Val Loss: 0.2556 | Val Acc: 92.11% | Sens: 0.94 | Spec: 0.90 | AUC: 0.97 | ✅ Correct: 490 | ❌ Incorrect: 42 | 📦 Total: 532
Epoch 73 | Train Loss: 0.2877 | Val Loss: 0.2558 | Val Acc: 90.60% | Sens: 0.95 | Spec: 0.86 | AUC: 0.97 | ✅ Correct: 482 | ❌ Incorrect: 50 | 📦 Total: 532
Epoch 74 | Train Loss: 0.2554 | Val Loss: 0.2666 | Val Acc: 87.59% | Sens: 0.82 | Spec: 0.93 | AUC: 0.97 | ✅ Correct: 466 | ❌ Incorrect: 66 | 📦 Total: 532
Epoch 75 | Train Loss: 0.2522 | Val Loss: 0.3071 | Val Acc: 87.78% | Sens: 0.80 | Spec: 0.95 | AUC: 0.96 | ✅ Correct: 467 | ❌ Incorrect: 65 | 📦 Total: 532
Epoch 76 | Train Loss: 0.2664 | Val Loss: 0.3174 | Val Acc: 88.91% | Sens: 0.98 | Spec: 0.80 | AUC: 0.97 | ✅ Correct: 473 | ❌ Incorrect: 59 | 📦 Total: 532
Epoch 77 | Train Loss: 0.2383 | Val Loss: 0.2539 | Val Acc: 90.60% | Sens: 0.97 | Spec: 0.85 | AUC: 0.97 | ✅ Correct: 482 | ❌ Incorrect: 50 | 📦 Total: 532
Epoch 78 | Train Loss: 0.2260 | Val Loss: 0.2318 | Val Acc: 90.60% | Sens: 0.93 | Spec: 0.88 | AUC: 0.97 | ✅ Correct: 482 | ❌ Incorrect: 50 | 📦 Total: 532
Epoch 79 | Train Loss: 0.2135 | Val Loss: 0.2311 | Val Acc: 91.92% | Sens: 0.92 | Spec: 0.92 | AUC: 0.97 | ✅ Correct: 489 | ❌ Incorrect: 43 | 📦 Total: 532
Epoch 80 | Train Loss: 0.2405 | Val Loss: 0.2506 | Val Acc: 91.35% | Sens: 0.95 | Spec: 0.88 | AUC: 0.97 | ✅ Correct: 486 | ❌ Incorrect: 46 | 📦 Total: 532
💾 Checkpoint saved: Checkpoints/Hyperparametersuch-Gli-Men/apricot-sweep-83/checkpoint_epoch_080.pt
Epoch 81 | Train Loss: 0.2224 | Val Loss: 0.2072 | Val Acc: 91.54% | Sens: 0.91 | Spec: 0.92 | AUC: 0.98 | ✅ Correct: 487 | ❌ Incorrect: 45 | 📦 Total: 532
Epoch 82 | Train Loss: 0.2193 | Val Loss: 0.2797 | Val Acc: 91.17% | Sens: 0.98 | Spec: 0.85 | AUC: 0.97 | ✅ Correct: 485 | ❌ Incorrect: 47 | 📦 Total: 532
Epoch 83 | Train Loss: 0.2017 | Val Loss: 0.1986 | Val Acc: 92.67% | Sens: 0.95 | Spec: 0.90 | AUC: 0.98 | ✅ Correct: 493 | ❌ Incorrect: 39 | 📦 Total: 532
Epoch 84 | Train Loss: 0.1716 | Val Loss: 0.2328 | Val Acc: 91.54% | Sens: 0.93 | Spec: 0.90 | AUC: 0.98 | ✅ Correct: 487 | ❌ Incorrect: 45 | 📦 Total: 532
Epoch 85 | Train Loss: 0.2061 | Val Loss: 0.2122 | Val Acc: 89.85% | Sens: 0.88 | Spec: 0.92 | AUC: 0.98 | ✅ Correct: 478 | ❌ Incorrect: 54 | 📦 Total: 532
