Epoch 58 | Train Loss: 0.2445 | Val Loss: 0.3353 | Val Acc: 86.65% | Sens: 0.81 | Spec: 0.92 | AUC: 0.95 | ✅ Correct: 461 | ❌ Incorrect: 71 | 📦 Total: 532
Epoch 59 | Train Loss: 0.2344 | Val Loss: 0.3407 | Val Acc: 87.97% | Sens: 0.92 | Spec: 0.85 | AUC: 0.95 | ✅ Correct: 468 | ❌ Incorrect: 64 | 📦 Total: 532
Epoch 60 | Train Loss: 0.2192 | Val Loss: 0.3256 | Val Acc: 87.78% | Sens: 0.87 | Spec: 0.88 | AUC: 0.95 | ✅ Correct: 467 | ❌ Incorrect: 65 | 📦 Total: 532
💾 Checkpoint saved: Checkpoints/Hyperparametersuch-Gli-Men/brisk-sweep-76/checkpoint_epoch_060.pt
Epoch 61 | Train Loss: 0.2129 | Val Loss: 0.3530 | Val Acc: 87.03% | Sens: 0.92 | Spec: 0.82 | AUC: 0.95 | ✅ Correct: 463 | ❌ Incorrect: 69 | 📦 Total: 532
Epoch 62 | Train Loss: 0.2203 | Val Loss: 0.3275 | Val Acc: 87.41% | Sens: 0.87 | Spec: 0.87 | AUC: 0.95 | ✅ Correct: 465 | ❌ Incorrect: 67 | 📦 Total: 532
Epoch 63 | Train Loss: 0.2159 | Val Loss: 0.3244 | Val Acc: 87.78% | Sens: 0.86 | Spec: 0.90 | AUC: 0.95 | ✅ Correct: 467 | ❌ Incorrect: 65 | 📦 Total: 532
Epoch 64 | Train Loss: 0.2079 | Val Loss: 0.3490 | Val Acc: 87.78% | Sens: 0.93 | Spec: 0.83 | AUC: 0.95 | ✅ Correct: 467 | ❌ Incorrect: 65 | 📦 Total: 532
Epoch 65 | Train Loss: 0.1990 | Val Loss: 0.3216 | Val Acc: 87.41% | Sens: 0.86 | Spec: 0.89 | AUC: 0.95 | ✅ Correct: 465 | ❌ Incorrect: 67 | 📦 Total: 532
Epoch 66 | Train Loss: 0.2079 | Val Loss: 0.3241 | Val Acc: 87.41% | Sens: 0.86 | Spec: 0.89 | AUC: 0.95 | ✅ Correct: 465 | ❌ Incorrect: 67 | 📦 Total: 532
Epoch 67 | Train Loss: 0.2078 | Val Loss: 0.3218 | Val Acc: 87.41% | Sens: 0.88 | Spec: 0.87 | AUC: 0.95 | ✅ Correct: 465 | ❌ Incorrect: 67 | 📦 Total: 532
Epoch 68 | Train Loss: 0.1955 | Val Loss: 0.3236 | Val Acc: 88.35% | Sens: 0.89 | Spec: 0.87 | AUC: 0.95 | ✅ Correct: 470 | ❌ Incorrect: 62 | 📦 Total: 532
Epoch 69 | Train Loss: 0.1952 | Val Loss: 0.3233 | Val Acc: 88.35% | Sens: 0.89 | Spec: 0.88 | AUC: 0.95 | ✅ Correct: 470 | ❌ Incorrect: 62 | 📦 Total: 532
Epoch 70 | Train Loss: 0.1993 | Val Loss: 0.3290 | Val Acc: 88.35% | Sens: 0.90 | Spec: 0.87 | AUC: 0.95 | ✅ Correct: 470 | ❌ Incorrect: 62 | 📦 Total: 532
💾 Checkpoint saved: Checkpoints/Hyperparametersuch-Gli-Men/brisk-sweep-76/checkpoint_epoch_070.pt
Epoch 71 | Train Loss: 0.1896 | Val Loss: 0.3262 | Val Acc: 87.97% | Sens: 0.89 | Spec: 0.87 | AUC: 0.95 | ✅ Correct: 468 | ❌ Incorrect: 64 | 📦 Total: 532
Epoch 72 | Train Loss: 0.2021 | Val Loss: 0.3165 | Val Acc: 87.22% | Sens: 0.85 | Spec: 0.89 | AUC: 0.95 | ✅ Correct: 464 | ❌ Incorrect: 68 | 📦 Total: 532
Epoch 73 | Train Loss: 0.1925 | Val Loss: 0.3218 | Val Acc: 88.91% | Sens: 0.90 | Spec: 0.87 | AUC: 0.95 | ✅ Correct: 473 | ❌ Incorrect: 59 | 📦 Total: 532
