Epoch 38 | Train Loss: 0.2896 | Val Loss: 0.3552 | Val Acc: 86.65% | Sens: 0.87 | Spec: 0.86 | AUC: 0.94 | ✅ Correct: 461 | ❌ Incorrect: 71 | 📦 Total: 532
Epoch 39 | Train Loss: 0.2986 | Val Loss: 0.3670 | Val Acc: 85.53% | Sens: 0.77 | Spec: 0.94 | AUC: 0.94 | ✅ Correct: 455 | ❌ Incorrect: 77 | 📦 Total: 532
Epoch 40 | Train Loss: 0.2819 | Val Loss: 0.3478 | Val Acc: 87.41% | Sens: 0.86 | Spec: 0.89 | AUC: 0.94 | ✅ Correct: 465 | ❌ Incorrect: 67 | 📦 Total: 532
💾 Checkpoint saved: Checkpoints/Hyperparametersuch-Gli-Men/earthy-sweep-96/checkpoint_epoch_040.pt
Epoch 41 | Train Loss: 0.2758 | Val Loss: 0.3518 | Val Acc: 87.22% | Sens: 0.87 | Spec: 0.87 | AUC: 0.94 | ✅ Correct: 464 | ❌ Incorrect: 68 | 📦 Total: 532
Epoch 42 | Train Loss: 0.2792 | Val Loss: 0.3536 | Val Acc: 87.41% | Sens: 0.89 | Spec: 0.86 | AUC: 0.94 | ✅ Correct: 465 | ❌ Incorrect: 67 | 📦 Total: 532
Epoch 43 | Train Loss: 0.2568 | Val Loss: 0.3485 | Val Acc: 87.97% | Sens: 0.87 | Spec: 0.89 | AUC: 0.94 | ✅ Correct: 468 | ❌ Incorrect: 64 | 📦 Total: 532
Epoch 44 | Train Loss: 0.2587 | Val Loss: 0.3507 | Val Acc: 86.65% | Sens: 0.81 | Spec: 0.92 | AUC: 0.94 | ✅ Correct: 461 | ❌ Incorrect: 71 | 📦 Total: 532
Epoch 45 | Train Loss: 0.2841 | Val Loss: 0.3724 | Val Acc: 86.65% | Sens: 0.92 | Spec: 0.81 | AUC: 0.94 | ✅ Correct: 461 | ❌ Incorrect: 71 | 📦 Total: 532
Epoch 46 | Train Loss: 0.2743 | Val Loss: 0.3427 | Val Acc: 87.22% | Sens: 0.87 | Spec: 0.87 | AUC: 0.94 | ✅ Correct: 464 | ❌ Incorrect: 68 | 📦 Total: 532
Epoch 47 | Train Loss: 0.2535 | Val Loss: 0.3427 | Val Acc: 87.59% | Sens: 0.87 | Spec: 0.88 | AUC: 0.94 | ✅ Correct: 466 | ❌ Incorrect: 66 | 📦 Total: 532
Epoch 48 | Train Loss: 0.2624 | Val Loss: 0.3650 | Val Acc: 86.65% | Sens: 0.92 | Spec: 0.82 | AUC: 0.94 | ✅ Correct: 461 | ❌ Incorrect: 71 | 📦 Total: 532
Epoch 49 | Train Loss: 0.2395 | Val Loss: 0.3411 | Val Acc: 87.78% | Sens: 0.85 | Spec: 0.90 | AUC: 0.94 | ✅ Correct: 467 | ❌ Incorrect: 65 | 📦 Total: 532
Epoch 50 | Train Loss: 0.2426 | Val Loss: 0.3544 | Val Acc: 87.59% | Sens: 0.91 | Spec: 0.84 | AUC: 0.94 | ✅ Correct: 466 | ❌ Incorrect: 66 | 📦 Total: 532
💾 Checkpoint saved: Checkpoints/Hyperparametersuch-Gli-Men/earthy-sweep-96/checkpoint_epoch_050.pt
Epoch 51 | Train Loss: 0.2432 | Val Loss: 0.3417 | Val Acc: 87.59% | Sens: 0.87 | Spec: 0.88 | AUC: 0.94 | ✅ Correct: 466 | ❌ Incorrect: 66 | 📦 Total: 532
Epoch 52 | Train Loss: 0.2284 | Val Loss: 0.3471 | Val Acc: 87.78% | Sens: 0.90 | Spec: 0.86 | AUC: 0.94 | ✅ Correct: 467 | ❌ Incorrect: 65 | 📦 Total: 532
Epoch 53 | Train Loss: 0.2165 | Val Loss: 0.3440 | Val Acc: 87.78% | Sens: 0.87 | Spec: 0.89 | AUC: 0.94 | ✅ Correct: 467 | ❌ Incorrect: 65 | 📦 Total: 532
Epoch 54 | Train Loss: 0.2154 | Val Loss: 0.3413 | Val Acc: 87.41% | Sens: 0.85 | Spec: 0.89 | AUC: 0.95 | ✅ Correct: 465 | ❌ Incorrect: 67 | 📦 Total: 532
Epoch 55 | Train Loss: 0.2257 | Val Loss: 0.3475 | Val Acc: 87.41% | Sens: 0.88 | Spec: 0.87 | AUC: 0.95 | ✅ Correct: 465 | ❌ Incorrect: 67 | 📦 Total: 532
Epoch 56 | Train Loss: 0.2321 | Val Loss: 0.3735 | Val Acc: 87.03% | Sens: 0.92 | Spec: 0.82 | AUC: 0.95 | ✅ Correct: 463 | ❌ Incorrect: 69 | 📦 Total: 532
Epoch 57 | Train Loss: 0.2288 | Val Loss: 0.4126 | Val Acc: 85.90% | Sens: 0.95 | Spec: 0.77 | AUC: 0.95 | ✅ Correct: 457 | ❌ Incorrect: 75 | 📦 Total: 532
Epoch 58 | Train Loss: 0.2317 | Val Loss: 0.3375 | Val Acc: 88.16% | Sens: 0.84 | Spec: 0.92 | AUC: 0.95 | ✅ Correct: 469 | ❌ Incorrect: 63 | 📦 Total: 532
Epoch 59 | Train Loss: 0.2079 | Val Loss: 0.3343 | Val Acc: 87.03% | Sens: 0.86 | Spec: 0.88 | AUC: 0.95 | ✅ Correct: 463 | ❌ Incorrect: 69 | 📦 Total: 532
Epoch 60 | Train Loss: 0.2068 | Val Loss: 0.3341 | Val Acc: 87.78% | Sens: 0.87 | Spec: 0.88 | AUC: 0.95 | ✅ Correct: 467 | ❌ Incorrect: 65 | 📦 Total: 532
💾 Checkpoint saved: Checkpoints/Hyperparametersuch-Gli-Men/earthy-sweep-96/checkpoint_epoch_060.pt
Epoch 61 | Train Loss: 0.2040 | Val Loss: 0.3861 | Val Acc: 87.22% | Sens: 0.94 | Spec: 0.81 | AUC: 0.95 | ✅ Correct: 464 | ❌ Incorrect: 68 | 📦 Total: 532
Epoch 62 | Train Loss: 0.2075 | Val Loss: 0.3333 | Val Acc: 87.78% | Sens: 0.87 | Spec: 0.89 | AUC: 0.95 | ✅ Correct: 467 | ❌ Incorrect: 65 | 📦 Total: 532
Epoch 63 | Train Loss: 0.2028 | Val Loss: 0.3308 | Val Acc: 87.03% | Sens: 0.84 | Spec: 0.90 | AUC: 0.95 | ✅ Correct: 463 | ❌ Incorrect: 69 | 📦 Total: 532
Epoch 64 | Train Loss: 0.1851 | Val Loss: 0.3541 | Val Acc: 88.72% | Sens: 0.93 | Spec: 0.84 | AUC: 0.95 | ✅ Correct: 472 | ❌ Incorrect: 60 | 📦 Total: 532
Epoch 65 | Train Loss: 0.1869 | Val Loss: 0.3319 | Val Acc: 87.59% | Sens: 0.87 | Spec: 0.88 | AUC: 0.95 | ✅ Correct: 466 | ❌ Incorrect: 66 | 📦 Total: 532
Epoch 66 | Train Loss: 0.1908 | Val Loss: 0.3362 | Val Acc: 87.97% | Sens: 0.87 | Spec: 0.89 | AUC: 0.95 | ✅ Correct: 468 | ❌ Incorrect: 64 | 📦 Total: 532
Epoch 67 | Train Loss: 0.1881 | Val Loss: 0.3344 | Val Acc: 87.78% | Sens: 0.89 | Spec: 0.86 | AUC: 0.95 | ✅ Correct: 467 | ❌ Incorrect: 65 | 📦 Total: 532
Epoch 68 | Train Loss: 0.1810 | Val Loss: 0.3316 | Val Acc: 87.78% | Sens: 0.89 | Spec: 0.87 | AUC: 0.95 | ✅ Correct: 467 | ❌ Incorrect: 65 | 📦 Total: 532
Epoch 69 | Train Loss: 0.1721 | Val Loss: 0.3382 | Val Acc: 87.97% | Sens: 0.90 | Spec: 0.86 | AUC: 0.95 | ✅ Correct: 468 | ❌ Incorrect: 64 | 📦 Total: 532
Epoch 70 | Train Loss: 0.1772 | Val Loss: 0.3351 | Val Acc: 88.53% | Sens: 0.90 | Spec: 0.87 | AUC: 0.95 | ✅ Correct: 471 | ❌ Incorrect: 61 | 📦 Total: 532
💾 Checkpoint saved: Checkpoints/Hyperparametersuch-Gli-Men/earthy-sweep-96/checkpoint_epoch_070.pt
Epoch 71 | Train Loss: 0.1638 | Val Loss: 0.3441 | Val Acc: 88.72% | Sens: 0.91 | Spec: 0.86 | AUC: 0.95 | ✅ Correct: 472 | ❌ Incorrect: 60 | 📦 Total: 532
Epoch 72 | Train Loss: 0.1748 | Val Loss: 0.3316 | Val Acc: 89.29% | Sens: 0.87 | Spec: 0.91 | AUC: 0.95 | ✅ Correct: 475 | ❌ Incorrect: 57 | 📦 Total: 532
Epoch 73 | Train Loss: 0.1782 | Val Loss: 0.3297 | Val Acc: 88.72% | Sens: 0.90 | Spec: 0.87 | AUC: 0.95 | ✅ Correct: 472 | ❌ Incorrect: 60 | 📦 Total: 532
